Feature [pos=851, type=FeaturePrix, str=153,61]
Feature [pos=871, type=FeaturePrix, str=128,01]
Feature [pos=893, type=FeaturePrix, str=0,00]
Feature [pos=928, type=FeaturePrix, str=0,00]
Feature [pos=990, type=FeaturePrix, str=20,00]
Feature [pos=1010, type=FeaturePrix, str=128,01]
Feature [pos=1032, type=FeaturePrix, str=25,60]
Feature [pos=1248, type=FeaturePrix, str=000,00]
Feature [pos=1672, type=FeaturePrix, str=153,61]
Feature [pos=1756, type=FeaturePrix, str=3,16]
Feature [pos=2023, type=FeaturePrix, str=1,00]
Feature [pos=2029, type=FeaturePrix, str=128,01]
Feature [pos=2037, type=FeaturePrix, str=128,01]
Feature [pos=2135, type=FeaturePrix, str=20,00]
Feature [pos=2144, type=FeaturePrix, str=128,01]
Feature [pos=2152, type=FeaturePrix, str=25,60]
Feature [pos=2160, type=FeaturePrix, str=128,01]
Feature [pos=2168, type=FeaturePrix, str=153,61]
Feature [pos=2178, type=FeaturePrix, str=153,61]
Feature [pos=52, type=FeatureDate, str=6448993]
Feature [pos=74, type=FeatureDate, str=4899388]
Feature [pos=99, type=FeatureDate, str=4899388]
Feature [pos=229, type=FeatureDate, str=90601]
Feature [pos=344, type=FeatureDate, str=77 02 31]
Feature [pos=452, type=FeatureDate, str=0843923]
Feature [pos=560, type=FeatureDate, str=69680]
Feature [pos=630, type=FeatureDate, str=78 06 16]
Feature [pos=653, type=FeatureDate, str=78 06 32]
Feature [pos=694, type=FeatureDate, str=01297]
Feature [pos=733, type=FeatureDate, str=004022]
Feature [pos=775, type=FeatureDate, str=20190430]
Feature [pos=797, type=FeatureDate, str=20190531]
Feature [pos=1092, type=FeatureDate, str=90601]
Feature [pos=1101, type=FeatureDate, str=004022]
Feature [pos=1146, type=FeatureDate, str=77 02 31]
Feature [pos=1244, type=FeatureDate, str=104 00]
Feature [pos=1281, type=FeatureDate, str=4899388]
Feature [pos=1321, type=FeatureDate, str=4899388]
Feature [pos=1364, type=FeatureDate, str=64 48993]
Feature [pos=1372, type=FeatureDate, str=8837 13]
Feature [pos=1413, type=FeatureDate, str=69680]
Feature [pos=1447, type=FeatureDate, str=30/04/2019]
Feature [pos=1491, type=FeatureDate, str=01297]
Feature [pos=1507, type=FeatureDate, str=78 06 16]
Feature [pos=1529, type=FeatureDate, str=78 06 32]
Feature [pos=1586, type=FeatureDate, str=0843923]
Feature [pos=1660, type=FeatureDate, str=31/05/2019]
Feature [pos=200, type=FeatureAddresse, str=10D, rue de la ProductiqueBP]
Feature [pos=477, type=FeatureAddresse, str=13, impasse Lavoisier]
Feature [pos=1063, type=FeatureAddresse, str=10D, rue de la ProductiqueBP]
Feature [pos=1377, type=FeatureAddresse, str=13, impasse Lavoisier]
Feature [pos=50, type=FeatureCode, str=FR64489938837]
Feature [pos=74, type=FeatureCode, str=48993883700023]
Feature [pos=99, type=FeatureCode, str=48993883700023]
Feature [pos=144, type=FeatureCode, str=5829C]
Feature [pos=189, type=FeatureCode, str=adresse1]
Feature [pos=229, type=FeatureCode, str=90601]
Feature [pos=237, type=FeatureCode, str=adresse2]
Feature [pos=289, type=FeatureCode, str=42041]
Feature [pos=450, type=FeatureCode, str=FR08439234170]
Feature [pos=466, type=FeatureCode, str=adresse1]
Feature [pos=501, type=FeatureCode, str=adresse2]
Feature [pos=560, type=FeatureCode, str=69680]
Feature [pos=694, type=FeatureCode, str=01297]
Feature [pos=733, type=FeatureCode, str=004022]
Feature [pos=775, type=FeatureCode, str=20190430]
Feature [pos=797, type=FeatureCode, str=20190531]
Feature [pos=978, type=FeatureCode, str=taux_tva1]
Feature [pos=998, type=FeatureCode, str=base_tva1]
Feature [pos=1019, type=FeatureCode, str=total_tva1]
Feature [pos=1092, type=FeatureCode, str=90601]
Feature [pos=1101, type=FeatureCode, str=004022]
Feature [pos=1109, type=FeatureCode, str=42041]
Feature [pos=1281, type=FeatureCode, str=489938837]
Feature [pos=1321, type=FeatureCode, str=48993883700023]
Feature [pos=1367, type=FeatureCode, str=489938837]
Feature [pos=1406, type=FeatureCode, str=5829C]
Feature [pos=1413, type=FeatureCode, str=69680]
Feature [pos=1491, type=FeatureCode, str=01297]
Feature [pos=1584, type=FeatureCode, str=FR08439234170]
